method,method_label,device_name,stem,gt_mud,final_prediction,final_correct,candidate_count,gt_rank,gt_worst_rank,gt_tied_count,gt_total_score,gt_mean_score,top_device_from_scores,top_total_score,top_mean_score
semantic_w256,ACE-level MaxSim,AmazonEcho,AmazonEcho_44650d56ccd3__semantic,amazonEchoMud_compact,chromecastUltraMud_compact,False,28,8,8,1,21565.7578125,0.43131515625,chromecastUltraMud_compact,24695.150390625,0.4939030078125
semantic_w256,ACE-level MaxSim,AugustDoorBell,AugustDoorBell_e076d03f00ae__semantic,augustdoorbellcamMud_compact,augustdoorbellcamMud_compact,True,28,1,1,1,25231.41015625,0.504628203125,augustdoorbellcamMud_compact,25231.41015625,0.504628203125
semantic_w256,ACE-level MaxSim,AwairAirQuality,AwairAirQuality_70886b100fc6__semantic,awairAirQualityMud_compact,awairAirQualityMud_compact,True,28,1,1,1,2575.67333984375,0.5852472937613611,awairAirQualityMud_compact,2575.67333984375,0.5852472937613611
semantic_w256,ACE-level MaxSim,BelkinCamera,BelkinCamera_b4750eece5a9__semantic,belkincameraMud_compact,belkincameraMud_compact,True,28,1,1,1,21894.767578125,0.4378953515625,belkincameraMud_compact,21894.767578125,0.4378953515625
semantic_w256,ACE-level MaxSim,BelkinWemoMotionSensor,BelkinWemoMotionSensor_ec1a59832811__semantic,wemomotionMud_compact,wemomotionMud_compact,True,28,1,1,1,17671.76171875,0.353435234375,wemomotionMud_compact,17671.76171875,0.353435234375
semantic_w256,ACE-level MaxSim,BelkinWemoSwitch,BelkinWemoSwitch_ec1a5979f489__semantic,wemoswitchMud_compact,wemomotionMud_compact,False,28,3,3,1,12772.42578125,0.255448515625,wemomotionMud_compact,16371.25,0.327425
semantic_w256,ACE-level MaxSim,BlipCareBPMeter,BlipCareBPMeter_746a89002e25__semantic,blipcareBPmeterMud_compact,blipcareBPmeterMud_compact,True,28,1,1,1,16.247203826904297,0.33848341306050617,blipcareBPmeterMud_compact,16.247203826904297,0.33848341306050617
semantic_w256,ACE-level MaxSim,CanaryCamera,CanaryCamera_7c70bc5d5edc__semantic,canaryCameraMud_compact,canaryCameraMud_compact,True,28,1,1,1,6459.72021484375,0.9844133213721046,canaryCameraMud_compact,6459.72021484375,0.9844133213721046
semantic_w256,ACE-level MaxSim,HPPrinter,HPPrinter_705a0fe49bc0__semantic,hpprinterMud_compact,hpprinterMud_compact,True,28,1,1,1,2756.312255859375,0.34793136276942377,hpprinterMud_compact,2756.312255859375,0.34793136276942377
semantic_w256,ACE-level MaxSim,HelloBarbie,HelloBarbie_28c2ddffa52d__semantic,hellobarbieMud_compact,hellobarbieMud_compact,True,28,1,1,1,96.25784301757812,0.6731317693536932,hellobarbieMud_compact,96.25784301757812,0.6731317693536932
